panel,direction,month,comparator,control_rmse_s,candidate_rmse_s,gain_s,rows,gate,source,source_sha256,audit,audit_sha256
matched_local_F1,Clock density weighting,2025-07,uniform component,352.182202457,352.412747518,-0.230545061,190713,F1_STOP,output/clock_campaign_20260923/scoring/complete_v2/result.json,51ece57f5e5334c9c451e9dcab226ee1a6b404bac595492b2813f2236f33dd18,output/clock_campaign_20260923/scoring/F1_RESULT.md,901665bd60f18970a48476b1a8912b1ee46af75e1a410e155c2b325ead6c05de
matched_local_F1,Clock density weighting,2025-12,uniform component,227.295249269,227.439555320,-0.144306051,165677,F1_STOP,output/clock_campaign_20260923/scoring/complete_v2/result.json,51ece57f5e5334c9c451e9dcab226ee1a6b404bac595492b2813f2236f33dd18,output/clock_campaign_20260923/scoring/F1_RESULT.md,901665bd60f18970a48476b1a8912b1ee46af75e1a410e155c2b325ead6c05de
matched_local_F1,Destination ninth peer,2025-07,temporal ninth peer,473.617605004,473.609336631,0.008268373,190713,F1_STOP,private_runs/lead235_20260923/destination_fit_v1/scoring_v1/F1_score/result.json,fe057ccb548c2e2f8359a7e32e5bcd1745aeddba83d345fb4fa2d61c441ac591,private_runs/lead235_20260923/destination_fit_v1/scoring_v1/F1_audit/verification.json,52ce50c172d4336286fa01100b2efbc21125fc15b7f72d9686a4b4079176346e
matched_local_F1,Destination ninth peer,2025-12,temporal ninth peer,294.070188899,294.051882053,0.018306846,165677,F1_STOP,private_runs/lead235_20260923/destination_fit_v1/scoring_v1/F1_score/result.json,fe057ccb548c2e2f8359a7e32e5bcd1745aeddba83d345fb4fa2d61c441ac591,private_runs/lead235_20260923/destination_fit_v1/scoring_v1/F1_audit/verification.json,52ce50c172d4336286fa01100b2efbc21125fc15b7f72d9686a4b4079176346e
matched_local_F1,Same-stand ARR context,2025-07,airport-wide ARR context,476.350766110,473.090614826,3.260151284,190713,F1_STOP,private_runs/lead235_20260923/stand_reuse_scoring_v1/F1/score_v1/result.json,23f1e024a384843fb29c05e170c85c0c11b9246e205de103aff1505360abf0d7,private_runs/lead235_20260923/stand_reuse_scoring_v1/F1/audit_v1/verification.json,7b4ced095db87925fee830357abdcd7edcacca75058ea5b4ba7e10f1d23c2d24
matched_local_F1,Same-stand ARR context,2025-12,airport-wide ARR context,294.819435442,293.710444546,1.108990896,165677,F1_STOP,private_runs/lead235_20260923/stand_reuse_scoring_v1/F1/score_v1/result.json,23f1e024a384843fb29c05e170c85c0c11b9246e205de103aff1505360abf0d7,private_runs/lead235_20260923/stand_reuse_scoring_v1/F1/audit_v1/verification.json,7b4ced095db87925fee830357abdcd7edcacca75058ea5b4ba7e10f1d23c2d24
matched_local_F1,Source-aware joint learning,2025-07,equal-capacity rich-only,339.892982699,338.444647707,1.448334992,190713,F1_STOP,private_runs/lead235_20260924/source_aware_scoring_v1/F1_score_v1/result.json,a47e051c5ab3f34d28ec2519f08ac4b2764b49d71d620e31606d62ccd393d73c,review_work/lead235_20260924/source_aware_score_audit_v1/receipt_F1_v1.json,2a873bf4053be5dd6761a53413caf2dfa080a7de6dd2a06e60208bbb33aae109
matched_local_F1,Source-aware joint learning,2025-12,equal-capacity rich-only,242.361976038,241.274913314,1.087062724,165677,F1_STOP,private_runs/lead235_20260924/source_aware_scoring_v1/F1_score_v1/result.json,a47e051c5ab3f34d28ec2519f08ac4b2764b49d71d620e31606d62ccd393d73c,review_work/lead235_20260924/source_aware_score_audit_v1/receipt_F1_v1.json,2a873bf4053be5dd6761a53413caf2dfa080a7de6dd2a06e60208bbb33aae109
matched_local_F1,Clock-gap peer rank,2025-07,NM-proxy peer rank,334.144628533,334.133336136,0.011292397,190713,F1_STOP,private_runs/lead235_20260924/peer_rank_scorer_v1/score_F1_v1/result.json,00202bea95bfbe7a48f06a9bdef9ba0dadc3743e6df69084fe887d1ea081c805,review_work/lead235_20260924/peer_rank_score_audit_v1/receipt_F1_v1.json,85f26900eeaa5e43f43b7ca3d9718e5dc451a0fa7e16b9e637d805eb4f0d2755
matched_local_F1,Clock-gap peer rank,2025-12,NM-proxy peer rank,234.785098136,234.725232771,0.059865365,165677,F1_STOP,private_runs/lead235_20260924/peer_rank_scorer_v1/score_F1_v1/result.json,00202bea95bfbe7a48f06a9bdef9ba0dadc3743e6df69084fe887d1ea081c805,review_work/lead235_20260924/peer_rank_score_audit_v1/receipt_F1_v1.json,85f26900eeaa5e43f43b7ca3d9718e5dc451a0fa7e16b9e637d805eb4f0d2755
