run_id,candidate,fold,config_hash,training_rows,rmse_sec,serialized_rmse_sec,missing_rmse_sec,n,sse,runtime_sec,peak_rss_bytes
direct-F1-20260910T215011113423-87c291c8,direct,F1,87c291c8a850747f6e8f33156c6f51f67b188a539331e4c5a5b1fe1c9a5107c7,250000,583.7417195908046,583.7420595481276,3186.771952072368,190713,64986292970.02867,840.280999999999,1373962240
direct-F2-20260910T220419863865-87c291c8,direct,F2,87c291c8a850747f6e8f33156c6f51f67b188a539331e4c5a5b1fe1c9a5107c7,250000,276.68101753232696,276.6808035907572,1048.5077323529158,185674,14213787618.405785,286.29699999999866,1366949888
direct-F3-20260910T220912325526-87c291c8,direct,F3,87c291c8a850747f6e8f33156c6f51f67b188a539331e4c5a5b1fe1c9a5107c7,250000,341.2039843973976,341.20381019367056,2606.6395516323128,162332,18898717245.70044,318.9840000000004,1429065728
residual-F1-20260910T221438668221-df67b7e4,residual,F1,df67b7e4a9050c0d7567c136338037ba66e7ae6e9b2b1fbd8701880e052ac811,250000,579.4396093788233,579.4402774364175,3186.771952072368,190713,64031939510.27971,316.5149999999994,1338880000
residual-F2-20260910T222002193696-df67b7e4,residual,F2,df67b7e4a9050c0d7567c136338037ba66e7ae6e9b2b1fbd8701880e052ac811,250000,274.43845522705993,274.43977495085846,1048.5077323529158,185674,13984309453.75857,252.25,1382920192
residual-F3-20260910T222419588814-df67b7e4,residual,F3,df67b7e4a9050c0d7567c136338037ba66e7ae6e9b2b1fbd8701880e052ac811,250000,333.8563207299287,333.8555687613176,2606.6395516323128,162332,18093531682.63457,329.9529999999977,1460424704
direct_specialist-F1-20260910T222959571544-ac2b1e30,direct_specialist,F1,ac2b1e30519093bc70037dfc56ab3382bded399d88e44afa8c494a0cde6ceed4,250000,423.6657947141524,423.6653586904718,1531.5970657463447,190713,34231592365.1476,128.3279999999977,1288523776
direct_specialist-F2-20260910T223217162451-ac2b1e30,direct_specialist,F2,ac2b1e30519093bc70037dfc56ab3382bded399d88e44afa8c494a0cde6ceed4,250000,272.51754572881333,272.51707162377926,936.715454645352,185674,13789230512.840391,87.18700000000172,1373720576
direct_specialist-F3-20260910T223350573232-ac2b1e30,direct_specialist,F3,ac2b1e30519093bc70037dfc56ab3382bded399d88e44afa8c494a0cde6ceed4,250000,284.4592280941164,284.4601432162843,1595.1036567065023,162332,13135426957.972591,97.53099999999904,1419841536
residual_specialist-F1-20260910T223618853935-e5952f02,residual_specialist,F1,e5952f02e526b8b82b7509633105214020411120a12fd9b14a20364991d9661b,250000,417.7182918391634,417.7183012323365,1531.5970657463447,190713,33277238905.39872,51.20300000000134,1317769216
residual_specialist-F2-20260910T223715150513-e5952f02,residual_specialist,F2,e5952f02e526b8b82b7509633105214020411120a12fd9b14a20364991d9661b,250000,270.24043549170614,270.2415166584341,936.715454645352,185674,13559752348.193172,53.03100000000268,1373945856
